                Year               RCP26                 A1B
        2082.0000000           0.0400000          15.1556740
        2083.0000000           0.0015000          15.0588322
        2084.0000000          -0.0370000          14.9565916
        2085.0000000          -0.0755000          14.8516331
        2086.0000000          -0.1140000          14.7471113
        2087.0000000          -0.1525000          14.6455584
        2088.0000000          -0.1910000          14.5495396
        2089.0000000          -0.2295000          14.4619627
        2090.0000000          -0.2680000          14.3817902
        2091.0000000          -0.2832000          14.2996931
        2092.0000000          -0.2984000          14.2144604
        2093.0000000          -0.3136000          14.1272955
        2094.0000000          -0.3287999          14.0396709
        2095.0000000          -0.3440000          13.9524307
        2096.0000000          -0.3592000          13.8671293
        2097.0000000          -0.3743999          13.7843838
        2098.0000000          -0.3896000          13.7053051
        2099.0000000          -0.4048000          13.6307631
